date,game_id,player_name,pts,reb,ast,pra,mp
2025-11-11,202511110SAC,Spencer Jones,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110SAC,Zeke Nnaji,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110SAC,Jalen Pickett,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110SAC,Hunter Tyson,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110SAC,Zach LaVine,12.0,4.0,3.0,19.0,34:33
2025-11-11,202511110SAC,DeMar DeRozan,18.0,1.0,2.0,21.0,30:59
2025-11-11,202511110SAC,Domantas Sabonis,19.0,8.0,4.0,31.0,25:36
2025-11-11,202511110SAC,Dennis Schröder,0.0,0.0,3.0,3.0,20:50
2025-11-11,202511110SAC,Precious Achiuwa,6.0,3.0,3.0,12.0,17:58
2025-11-11,202511110SAC,Russell Westbrook,14.0,8.0,11.0,33.0,31:02
2025-11-11,202511110SAC,Malik Monk,12.0,1.0,2.0,15.0,28:29
2025-11-11,202511110SAC,Drew Eubanks,19.0,7.0,1.0,27.0,22:15
2025-11-11,202511110SAC,Keon Ellis,3.0,0.0,0.0,3.0,14:21
2025-11-11,202511110SAC,Nique Clifford,5.0,3.0,2.0,10.0,13:57
2025-11-11,202511110SAC,Doug McDermott,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110SAC,Maxime Raynaud,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110SAC,Dario Šarić,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110UTA,Pascal Siakam,27.0,5.0,4.0,36.0,35:05
2025-11-11,202511110UTA,Aaron Nesmith,17.0,4.0,7.0,28.0,31:53
2025-11-11,202511110UTA,Andrew Nembhard,25.0,2.0,7.0,34.0,29:31
2025-11-11,202511110UTA,Jeremiah Robinson-Earl,6.0,4.0,3.0,13.0,21:45
2025-11-11,202511110UTA,Tony Bradley,8.0,1.0,2.0,11.0,19:38
2025-11-11,202511110UTA,Isaiah Jackson,12.0,10.0,2.0,24.0,22:37
2025-11-11,202511110UTA,Jarace Walker,11.0,1.0,0.0,12.0,22:07
2025-11-11,202511110UTA,Ben Sheppard,4.0,2.0,0.0,6.0,17:02
2025-11-11,202511110UTA,Monte Morris,2.0,1.0,3.0,6.0,12:23
2025-11-11,202511110UTA,T.J. McConnell,12.0,1.0,1.0,14.0,11:26
2025-11-11,202511110UTA,Jay Huff,3.0,3.0,0.0,6.0,11:08
